config_name,agent_count,agents,accuracy,tpr,fpr,tnr
Single-C,1,correctness,0.7586206896551724,0.7916666666666666,0.4,0.6
Single-S,1,security,0.20689655172413793,0.041666666666666664,0.0,1.0
Single-P,1,performance,0.1724137931034483,0.0,0.0,1.0
Single-St,1,style,0.1724137931034483,0.0,0.0,1.0
Pair-C+S,2,correctness+security,0.6896551724137931,0.7083333333333334,0.4,0.6
Pair-C+P,2,correctness+performance,0.7931034482758621,0.8333333333333334,0.4,0.6
Pair-C+St,2,correctness+style,0.7586206896551724,0.7916666666666666,0.4,0.6
Pair-S+P,2,security+performance,0.2413793103448276,0.08333333333333333,0.0,1.0
Pair-S+St,2,security+style,0.20689655172413793,0.041666666666666664,0.0,1.0
Pair-P+St,2,performance+style,0.1724137931034483,0.0,0.0,1.0
Triple-C+S+P,3,correctness+security+performance,0.7241379310344828,0.75,0.4,0.6
Triple-C+S+St,3,correctness+security+style,0.6896551724137931,0.7083333333333334,0.4,0.6
Triple-C+P+St,3,correctness+performance+style,0.7931034482758621,0.8333333333333334,0.4,0.6
Triple-S+P+St,3,security+performance+style,0.2413793103448276,0.08333333333333333,0.0,1.0
Full-All4,4,correctness+security+performance+style,0.7241379310344828,0.75,0.4,0.6
